组件,部件号,说明,数量
810-BBBO : 零售追踪,864KE,"Information,PLACEHOLDER       PIECE-PART",0
658-BCVR : Dell Recovery Experience软件,W171T,"SRV,SW,DDRE,CSMB",0
658-BCVQ : 支持协助适用于 Win10 MSSI,334CH,"SRV,SW,APP,SACLIENT",0
,K53RM,"INFO,RYLTY,SACLIENT",0
658-BCSB : Microsoft® Office 30天试用,HR8X9,"INFO,WINRE-ADDR,3,GB-PTN",0
,0Y3YM,"SRV,SW,OFC2013,TOPK",0
658-BCCO : McAfee®30天 试用,V7CT5,"SRV,SW,MCAFEE,COMMONBUILD",0
,M8192,"SRV,SW,MCAF-SCTY,UPDATES",0
,4F6WW,"SRV,SW,MCAFEE,COMMONBUILD,M",0
,GVXWF,"INFO,SW,COMMONBUILD,30DAY",0
,FD09N,"SRV,SW,MCAFE,CB,LIVESAFE,WIN10",0
630-AARZ : Microsoft® Office 试用版,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",0
619-AHLJ : Windows 10 家庭版 (64位) 简体中文,D6KX0,"INFO,WINDOWS,10",0
,0RR64,"SRV,SW,JUMPSTART,W10",0
,X7V4Y,"INFO,RYLTY,W10,DOLBY5.1,CODEC",0
,GYTDF,"SRV,SW,WIN10,RDX",0
,P3KX2,"DPK,W10H,EM,PRC,CPPP",1
,0616F,"INFO,BOOT,GPT,OVERRIDE",0
,6RR74,"SRV,OS,WIN10,64,SCHI",0
,D6KX0,"INFO,WINDOWS,10",0
,PJ289,"INFO,VPEPR",0
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",0
,W728F,"SRV,OS,IE,INSTALLER",0
,X278C,"SRV,OS,DOTNET,INSTALLER",0
,XP9T9,"INFO,BOOT,CNTNR,GPT",0
,X0601,"INFO,BYPS,UPTN",0
,TM318,"INFO,SLP2,ENABLE,WINDOWS",0
,PY79K,"INFO,.NET@V,50000",0
,HNX8N,"INFO,IE@V,110000",0
,KYWGW,"INFO,.NET@V,46000",0
,HMX3H,"INFO,WIN10,EM",0
,DKM5G,"LBL,GML,MS,OS,WIN,CORE",1
580-ACBP : 内置 US/国际 Qwerty 背光单指点键盘,NRC3Y,"KYBD,80,US-INTL,M14NSCB",1
,X903C,"INFO,RYLTY,KYBD,BLIT,XLOB",0
555-BCVK : 3165 无线卡驱动程序,50V0T,"SRV,DRVR,WIFI,3165,5459",0
,K53P8,"SRV,APPS,WIDI,5459",0
,PMRGJ,"SRV,APPS,BT,3165,5459",0
"555-BCJN : 英特尔®3165AC + 蓝牙 [802.11ac + 蓝牙, 双频 2.4&5 GHz, 1x1]",MHK36,"CRD,WRLES,M.2,3165",1
,N2VM5,"LBL,REG,WRLES,3165,WW,M2,CSMB",1
525-10347 : McAfee® 多设备安全 15 个月订阅,2KCVH,"INFO,SW,COMBUILD,15M,EMARKET",0
490-BCWG : NVIDIA®  GeForce® 930M  含 4GB DDR3,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",0
"451-BBUG : 43 瓦时, 3芯电池",PXR51,"BTRY,PRI,43WHR,3C,LITH,SIMPLO",1
450-ADTR : 65瓦交流适配器,MGJN9,"ADPT,AC,65W,LTON,3P,L6,4.5MM",1
450-AAJO : 电源线 适用于中国,M575C,"CORD,PWR,250V,2.5A,1M,C5,CHI",1
400-AEKX : 1TB (5.400 Rpm) SATA 硬盘,00159,"INFO,1ST BOOT,HARD DRIVE",0
,12K7X,"HD,1T,S3,5.4,512E,7MM,MN500M-1",1
